order_item_id,order_id,product_id,quantity,unit_price,discount_pct,unit_cost,line_revenue
1,1,175,3,191.62,0,143.25,574.86
2,1,46,1,244.6,0.05,164.68,232.37
3,1,239,2,90.59,0,70.61,181.18
4,1,96,1,167.93,0,118.71,167.93
5,1,241,4,269.35,0.15,215.66,915.79
6,1,64,1,337.2,0,232.12,337.2
7,2,129,2,420.07,0.05,259.11,798.13
8,2,203,1,85.83,0.15,47.88,72.96
9,3,183,1,139.63,0,80.26,139.63
10,3,33,1,316.6,0,240.0,316.6
11,4,171,3,49.05,0,35.09,147.15
12,4,66,1,131.49,0,73.92,131.49
13,4,247,1,25.34,0.05,16.84,24.07
14,4,107,1,393.62,0.15,207.72,334.58
15,5,116,2,361.77,0,197.11,723.54
16,5,4,1,298.41,0,162.5,298.41
17,5,13,1,262.7,0.1,179.96,236.43
18,6,169,2,457.62,0.15,256.4,777.95
19,6,158,2,268.39,0.15,184.4,456.26
20,6,79,2,30.52,0.05,19.69,57.99
21,7,139,1,491.23,0,317.94,491.23
22,7,77,1,147.39,0.1,112.34,132.65
23,7,35,1,643.04,0,402.38,643.04
24,8,235,4,852.85,0.15,525.1,2899.69
25,8,140,4,255.83,0.2,145.09,818.66
26,9,105,1,258.3,0.15,141.58,219.56
27,9,86,4,238.65,0,173.34,954.6
28,10,25,1,625.1,0,443.76,625.1
29,10,165,1,49.55,0,34.33,49.55
30,10,16,1,359.17,0,276.21,359.17
31,10,170,1,105.62,0,78.59,105.62
32,11,246,1,198.23,0.1,139.11,178.41
33,11,81,5,621.32,0.15,344.6,2640.61
34,12,89,1,563.44,0,363.4,563.44
35,12,66,1,135.52,0.1,73.92,121.97
36,13,171,1,51.48,0,35.09,51.48
37,14,140,1,266.58,0,145.09,266.58
38,14,175,1,203.8,0,143.25,203.8
39,14,197,4,168.09,0.05,114.12,638.74
40,14,96,3,165.45,0,118.71,496.35
41,15,88,2,324.98,0,192.73,649.96
42,15,49,2,46.98,0,35.06,93.96
43,15,6,1,17.34,0,10.68,17.34
44,16,52,2,192.24,0.15,108.94,326.81
45,17,169,1,467.29,0,256.4,467.29
46,18,72,1,73.67,0.05,51.17,69.99
47,18,15,3,137.38,0.05,107.98,391.53
48,19,125,2,86.57,0.2,67.59,138.51
