order_id,customer_id,employee_id,shipper_id,region_id,order_date,ship_date,promised_date,delivered_date,order_status,sales_channel
1,2755,,5,6,2023-06-26,2023-06-28,2023-06-29,2023-06-29,Completed,Web
2,4,,3,7,2023-08-25,2023-08-25,2023-08-29,2023-08-30,Completed,Web
3,1115,,5,6,2024-11-10,2024-11-10,2024-11-15,2024-11-15,Completed,Web
4,2167,,3,2,2024-04-15,2024-04-16,2024-04-21,2024-04-24,Completed,Web
5,2461,,5,2,2025-01-27,2025-01-29,2025-02-01,2025-02-01,Completed,Web
6,777,13,1,2,2025-05-12,2025-05-13,2025-05-14,2025-05-14,Completed,Sales Rep
7,485,,4,7,2022-02-04,2022-02-05,2022-02-10,2022-02-10,Completed,Marketplace
8,1748,,5,4,2024-05-26,,2024-06-01,,Pending,Marketplace
9,1648,,4,3,2024-12-29,2024-12-31,2025-01-01,2025-01-03,Completed,Web
10,494,,1,2,2025-12-26,2025-12-28,2025-12-31,2025-12-31,Completed,Web
11,778,,5,2,2023-09-28,2023-09-29,2023-10-02,2023-10-02,Completed,Mobile App
12,2492,18,3,1,2025-07-13,2025-07-15,2025-07-16,2025-07-16,Completed,Sales Rep
13,2231,,3,1,2022-07-15,2022-07-16,2022-07-21,2022-07-22,Completed,Marketplace
14,2937,,5,8,2023-09-30,2023-09-30,2023-10-02,2023-10-02,Completed,Web
15,2491,13,3,1,2025-11-30,2025-11-30,2025-12-06,2025-12-08,Completed,Sales Rep
16,2288,,5,1,2022-08-29,,2022-09-02,,Pending,Mobile App
17,411,,3,7,2022-07-17,2022-07-17,2022-07-21,2022-07-22,Completed,Web
18,2801,,4,4,2022-10-28,2022-10-29,2022-11-02,2022-11-05,Completed,Web
19,328,,5,8,2023-08-16,2023-08-18,2023-08-19,2023-08-19,Completed,Web
20,886,,1,7,2024-03-06,2024-03-07,2024-03-08,2024-03-08,Completed,Web
21,45,,2,4,2025-04-28,2025-04-29,2025-05-01,2025-05-01,Completed,Web
22,2020,,3,1,2025-07-14,2025-07-16,2025-07-20,2025-07-20,Completed,Web
23,1161,,3,8,2022-11-18,2022-11-20,2022-11-23,2022-11-23,Completed,Mobile App
24,1664,,1,7,2022-02-02,2022-02-02,2022-02-06,2022-02-05,Completed,Web
25,1916,,1,1,2025-04-10,2025-04-12,2025-04-12,2025-04-14,Completed,Marketplace
26,2292,12,4,2,2024-07-31,2024-07-31,2024-08-03,2024-08-06,Completed,Sales Rep
27,2894,13,3,2,2022-09-30,2022-10-02,2022-10-03,2022-10-05,Completed,Sales Rep
28,970,,3,1,2022-11-23,2022-11-23,2022-11-25,2022-11-25,Completed,Mobile App
29,934,,2,3,2022-12-25,,2022-12-30,,Pending,Web
30,1813,,5,5,2023-10-25,2023-10-25,2023-10-31,2023-10-31,Completed,Mobile App
31,1772,,2,2,2024-10-06,,2024-10-11,,Pending,Mobile App
32,2288,,1,1,2024-01-11,2024-01-11,2024-01-15,2024-01-15,Completed,Web
33,1761,,4,3,2022-11-24,2022-11-26,2022-11-30,2022-12-03,Completed,Web
34,2864,26,1,1,2025-12-21,2025-12-22,2025-12-27,2025-12-26,Completed,Sales Rep
35,1561,,5,6,2022-07-27,2022-07-29,2022-08-02,2022-08-01,Completed,Web
36,662,,5,8,2023-11-30,2023-12-02,2023-12-02,2023-12-03,Completed,Mobile App
37,2963,,3,4,2023-06-08,2023-06-10,2023-06-14,2023-06-14,Completed,Web
38,1642,,3,3,2022-09-29,,2022-10-04,,Pending,Web
39,1443,,1,6,2022-12-19,2022-12-21,2022-12-24,2022-12-24,Completed,Web
40,1052,,5,5,2023-09-12,2023-09-12,2023-09-16,2023-09-16,Completed,Marketplace
41,1685,,3,8,2022-05-05,2022-05-07,2022-05-11,2022-05-12,Completed,Marketplace
42,50,,5,2,2025-07-30,2025-07-31,2025-08-05,2025-08-05,Completed,Mobile App
