payment_id,order_id,payment_method,payment_status,amount,payment_date
1,1,Invoice,Paid,2409.33,2023-06-26
2,2,PayPal,Paid,871.09,2023-08-25
3,3,Invoice,Paid,456.23,2024-11-10
4,4,Invoice,Paid,637.29,2024-04-15
5,5,PayPal,Paid,1258.38,2025-01-27
6,6,Bank Transfer,Paid,1292.2,2025-05-12
7,7,PayPal,Paid,1266.92,2022-02-04
8,8,Bank Transfer,Pending,3718.35,2024-05-26
9,9,Bank Transfer,Paid,1174.16,2024-12-29
10,10,Card,Paid,1139.44,2025-12-26
11,11,Invoice,Paid,2819.02,2023-09-28
12,12,Bank Transfer,Paid,685.41,2025-07-13
13,13,Invoice,Paid,51.48,2022-07-15
14,14,Bank Transfer,Paid,1605.47,2023-09-30
15,15,Invoice,Paid,761.26,2025-11-30
16,16,Invoice,Pending,326.81,2022-08-29
17,17,Bank Transfer,Paid,467.29,2022-07-17
18,18,PayPal,Paid,461.52,2022-10-28
19,19,Card,Paid,2700.11,2023-08-16
20,20,Card,Paid,762.29,2024-03-06
21,21,Invoice,Paid,1332.65,2025-04-28
22,22,Bank Transfer,Paid,440.05,2025-07-14
23,23,Invoice,Paid,1803.06,2022-11-18
24,24,Bank Transfer,Paid,4474.3,2022-02-02
25,25,Bank Transfer,Paid,1579.16,2025-04-10
26,26,PayPal,Paid,856.91,2024-07-31
27,27,PayPal,Paid,391.18,2022-09-30
28,28,Invoice,Paid,94.54,2022-11-23
29,29,Card,Pending,511.29,2022-12-25
30,30,PayPal,Paid,106.41,2023-10-25
31,31,PayPal,Pending,675.89,2024-10-06
32,32,PayPal,Paid,2279.04,2024-01-11
33,33,PayPal,Paid,3695.68,2022-11-24
34,34,PayPal,Paid,2401.23,2025-12-21
35,35,Bank Transfer,Paid,1768.04,2022-07-27
36,36,Bank Transfer,Paid,1796.4,2023-11-30
37,37,PayPal,Paid,1695.4,2023-06-08
38,38,Invoice,Pending,148.05,2022-09-29
39,39,Bank Transfer,Paid,326.22,2022-12-19
40,40,Bank Transfer,Paid,1390.12,2023-09-12
41,41,Bank Transfer,Paid,558.68,2022-05-05
42,42,Card,Paid,467.42,2025-07-30
43,43,PayPal,Paid,509.92,2025-11-16
44,44,Bank Transfer,Paid,904.48,2022-01-03
45,45,PayPal,Paid,777.26,2024-08-22
46,46,PayPal,Paid,1700.25,2024-11-30
47,47,PayPal,Paid,2079.04,2024-02-26
48,48,Bank Transfer,Pending,455.95,2024-07-11
49,49,Card,Refunded,527.16,2024-07-06
50,50,Card,Paid,853.99,2023-03-07
51,51,Invoice,Paid,535.25,2022-06-12
52,52,PayPal,Paid,705.62,2024-11-12
53,53,Invoice,Paid,600.84,2023-04-04
54,54,PayPal,Refunded,174.04,2023-01-27
55,55,Bank Transfer,Paid,650.43,2023-10-24
56,56,Bank Transfer,Paid,784.67,2023-06-24
57,57,Bank Transfer,Pending,1893.4,2024-06-28
58,58,PayPal,Paid,3772.95,2024-11-15
59,59,Bank Transfer,Paid,1157.3,2023-11-10
60,60,Card,Paid,466.78,2023-03-01
61,61,Bank Transfer,Paid,134.88,2022-12-06
62,62,Invoice,Paid,468.63,2024-07-10
63,63,Bank Transfer,Paid,2228.32,2024-05-01
64,64,Bank Transfer,Paid,1053.85,2022-09-20
65,65,Bank Transfer,Paid,370.23,2022-05-09
66,66,Bank Transfer,Paid,2974.21,2025-07-21
67,67,Card,Paid,277.67,2022-10-16
68,68,Bank Transfer,Paid,1971.04,2023-08-22
69,69,PayPal,Paid,865.84,2024-06-10
70,70,Invoice,Paid,451.0,2023-05-28
71,71,Bank Transfer,Paid,181.23,2022-05-28
72,72,Bank Transfer,Paid,105.62,2025-10-14
73,73,PayPal,Paid,571.77,2025-03-05
74,74,Card,Paid,412.79,2022-06-04
75,75,PayPal,Paid,660.59,2023-06-05
76,76,PayPal,Paid,383.51,2023-05-22
77,77,Bank Transfer,Paid,569.44,2023-07-02
78,78,Invoice,Paid,904.77,2023-04-23
79,79,Card,Paid,1052.45,2023-10-26
80,80,PayPal,Paid,116.8,2022-06-20
81,81,Invoice,Pending,820.65,2022-07-15
82,82,Bank Transfer,Paid,149.67,2023-01-12
83,83,Invoice,Paid,555.11,2022-08-13
84,84,Card,Paid,1110.34,2022-02-26
85,85,Bank Transfer,Pending,2125.65,2023-06-28
86,86,Bank Transfer,Pending,3166.16,2022-02-21
87,87,Card,Paid,2092.89,2025-02-07
88,88,Invoice,Pending,548.43,2022-07-20
89,89,Invoice,Paid,415.16,2025-05-29
90,90,Invoice,Paid,235.52,2023-08-10
91,91,Invoice,Paid,798.79,2024-03-06
92,92,Invoice,Paid,2133.85,2023-07-20
93,93,PayPal,Pending,134.39,2024-09-02
94,94,PayPal,Paid,1162.85,2024-11-14
95,95,Bank Transfer,Paid,116.85,2024-08-24
96,96,Card,Paid,4739.59,2022-03-07
97,97,Bank Transfer,Paid,1226.3,2024-12-09
98,98,Card,Paid,318.45,2024-11-11
99,99,Invoice,Paid,2395.69,2023-04-11
100,100,Invoice,Paid,262.47,2025-11-13
101,101,Card,Paid,311.79,2022-06-19
102,102,Bank Transfer,Paid,540.1,2025-06-15
103,103,PayPal,Paid,2415.39,2022-03-07
104,104,Invoice,Paid,64.49,2024-01-05
105,105,PayPal,Paid,347.54,2025-06-18
106,106,Card,Paid,1463.91,2025-11-02
107,107,Bank Transfer,Paid,357.81,2022-06-23
108,108,Invoice,Paid,4070.64,2024-11-18
109,109,Card,Paid,2317.74,2025-06-13
110,110,Bank Transfer,Paid,2763.49,2024-05-25
111,111,Invoice,Paid,2246.09,2022-11-01
112,112,PayPal,Paid,254.47,2022-10-13
113,113,Invoice,Paid,195.07,2024-09-26
114,114,PayPal,Paid,1429.01,2022-09-04
115,115,Card,Paid,667.5,2025-06-11
116,116,PayPal,Paid,94.33,2022-10-08
117,117,Bank Transfer,Pending,1401.09,2024-06-29
118,118,Bank Transfer,Paid,817.9,2023-07-04
119,119,Card,Pending,46.45,2025-05-12
