return_id,order_item_id,return_date,return_reason,refund_amount,return_status
1,21,2022-02-16,Wrong Item,474.69,Approved
2,27,2025-01-11,Changed Mind,822.36,Approved
3,36,2022-08-01,Damaged,43.72,Approved
4,39,2023-10-17,Not as Described,512.58,Approved
5,54,2025-05-21,Changed Mind,245.27,Approved
6,59,2022-11-24,Wrong Item,258.96,Approved
7,61,2022-02-18,Late Delivery,191.52,Approved
8,95,2023-12-20,Damaged,1182.12,Rejected
9,99,2023-07-02,Damaged,431.42,Approved
10,176,2025-03-22,Damaged,247.5,Rejected
11,195,2023-01-29,Changed Mind,96.4,Rejected
12,247,2025-11-26,Wrong Item,199.78,Approved
13,262,2024-06-23,Wrong Item,686.13,Approved
14,347,2026-01-28,Changed Mind,599.85,Approved
15,395,2025-10-22,Damaged,309.08,Rejected
16,426,2024-12-15,Changed Mind,365.91,Rejected
17,428,2024-12-19,Changed Mind,1333.21,Approved
18,429,2024-04-18,Changed Mind,300.35,Rejected
19,435,2023-01-08,Wrong Item,219.9,Rejected
20,459,2025-12-09,Wrong Item,337.57,Approved
21,468,2023-02-16,Not as Described,109.46,Approved
22,480,2024-09-19,Not as Described,765.44,Rejected
23,489,2022-01-14,Not as Described,1084.76,Approved
24,495,2022-07-05,Not as Described,440.44,Approved
25,507,2022-02-15,Changed Mind,16.33,Rejected
26,509,2022-02-20,Not as Described,64.42,Rejected
27,513,2025-03-15,Late Delivery,514.03,Approved
28,518,2025-06-24,Damaged,163.01,Approved
29,542,2023-12-18,Changed Mind,490.26,Approved
30,567,2024-01-20,Late Delivery,1431.8,Approved
31,582,2022-06-13,Wrong Item,177.38,Approved
32,611,2024-08-16,Wrong Item,274.0,Approved
33,624,2022-10-16,Wrong Item,377.57,Approved
34,637,2025-12-05,Wrong Item,124.7,Approved
35,673,2025-12-04,Not as Described,390.63,Approved
36,683,2022-03-11,Changed Mind,191.03,Rejected
37,685,2025-06-09,Wrong Item,81.4,Rejected
38,693,2024-12-23,Damaged,276.61,Approved
39,705,2022-11-21,Wrong Item,200.82,Approved
40,723,2025-08-25,Not as Described,217.17,Approved
41,728,2022-07-03,Damaged,307.94,Approved
42,731,2023-11-27,Changed Mind,604.39,Approved
43,741,2022-11-08,Wrong Item,625.44,Approved
44,748,2024-06-03,Changed Mind,171.51,Approved
45,772,2023-09-12,Changed Mind,278.27,Approved
46,774,2026-01-25,Damaged,291.12,Approved
47,779,2023-08-09,Wrong Item,105.99,Approved
48,807,2025-12-12,Not as Described,236.13,Rejected
49,818,2025-06-03,Changed Mind,519.28,Approved
50,855,2025-06-21,Changed Mind,540.08,Approved
51,869,2025-01-24,Changed Mind,83.32,Rejected
52,902,2022-08-14,Not as Described,294.46,Approved
53,903,2024-07-03,Changed Mind,518.46,Approved
54,905,2022-05-02,Damaged,693.58,Approved
55,911,2024-03-28,Wrong Item,2076.45,Rejected
56,925,2022-04-01,Damaged,486.84,Rejected
57,939,2022-03-15,Damaged,270.83,Approved
58,947,2024-05-10,Wrong Item,32.05,Rejected
59,974,2024-12-29,Not as Described,299.36,Approved
60,980,2022-01-24,Not as Described,482.06,Rejected
61,993,2023-03-31,Not as Described,802.61,Approved
62,1088,2022-12-30,Late Delivery,325.78,Approved
63,1109,2024-10-28,Not as Described,582.08,Approved
64,1130,2025-09-06,Changed Mind,176.79,Approved
65,1153,2025-07-14,Changed Mind,42.59,Approved
66,1183,2024-03-27,Changed Mind,160.27,Rejected
67,1211,2022-03-16,Damaged,439.79,Rejected
68,1212,2024-02-01,Damaged,232.31,Approved
69,1216,2024-08-10,Damaged,557.75,Approved
70,1258,2023-07-09,Damaged,100.59,Approved
71,1284,2023-07-01,Damaged,74.17,Approved
72,1286,2025-09-27,Changed Mind,276.67,Approved
73,1296,2023-10-03,Changed Mind,408.75,Rejected
